alert_id,event_time,date,asset_id
WD5Lr4HkCqo,2019-06-17T04:32:40.000+03:00,2019-06-17,sAXgSOt
WD5Lr4HkCqo,2019-06-17T04:32:40.000+03:00,2019-06-17,FtXESJf
WD5Lr4HkCqo,2019-06-17T04:32:40.000+03:00,2019-06-17,VYsVaVJ
VRYMEmmYp50,2019-06-17T05:07:50.000+03:00,2019-06-17,rMK4OjK
wNDjFPdOejC,2019-06-17T05:12:11.000+03:00,2019-06-17,KcQely8
wNDjFPdOejC,2019-06-17T05:12:11.000+03:00,2019-06-17,E4Q2sDo
ThuJ4nOJR5O,2019-06-17T05:12:15.000+03:00,2019-06-17,3LOAdtL
ThuJ4nOJR5O,2019-06-17T05:12:15.000+03:00,2019-06-17,ScsjUu5
ThuJ4nOJR5O,2019-06-17T05:12:15.000+03:00,2019-06-17,T5pV1V1
ThuJ4nOJR5O,2019-06-17T05:12:15.000+03:00,2019-06-17,HTW83A4
ThuJ4nOJR5O,2019-06-17T05:12:15.000+03:00,2019-06-17,5xa9kSz
XTBrpBEIW2v,2019-06-17T05:17:59.000+03:00,2019-06-17,KAumEbs
KdVKuoubHtU,2019-06-17T05:44:11.000+03:00,2019-06-17,jZoJaGz
KdVKuoubHtU,2019-06-17T05:44:11.000+03:00,2019-06-17,IVJ4mqW
KdVKuoubHtU,2019-06-17T05:44:11.000+03:00,2019-06-17,lwlDmHH
KdVKuoubHtU,2019-06-17T05:44:11.000+03:00,2019-06-17,XqF4MF3
2Jof51BvzqX,2019-06-17T05:46:17.000+03:00,2019-06-17,tXBGTCy
2Jof51BvzqX,2019-06-17T05:46:17.000+03:00,2019-06-17,ak0CBkG
nWiOqwQnfta,2019-06-17T06:20:56.000+03:00,2019-06-17,49BWaJm
nWiOqwQnfta,2019-06-17T06:20:56.000+03:00,2019-06-17,m2xk2cu
nWiOqwQnfta,2019-06-17T06:20:56.000+03:00,2019-06-17,6hwEPZQ
eyLiVKpbumX,2019-06-17T06:24:14.000+03:00,2019-06-17,RIHOle7
eyLiVKpbumX,2019-06-17T06:24:14.000+03:00,2019-06-17,9LVXKIH
eyLiVKpbumX,2019-06-17T06:24:14.000+03:00,2019-06-17,A2CW9gl
eyLiVKpbumX,2019-06-17T06:24:14.000+03:00,2019-06-17,qCjHM1m
eyLiVKpbumX,2019-06-17T06:24:14.000+03:00,2019-06-17,clOYHCp
kdlifFZxjtH,2019-06-17T06:46:07.000+03:00,2019-06-17,HfhDSou
kdlifFZxjtH,2019-06-17T06:46:07.000+03:00,2019-06-17,3m5XBp7
kdlifFZxjtH,2019-06-17T06:46:07.000+03:00,2019-06-17,0Zijpi0
kdlifFZxjtH,2019-06-17T06:46:07.000+03:00,2019-06-17,8zzELaZ
kdlifFZxjtH,2019-06-17T06:46:07.000+03:00,2019-06-17,CLzRINT
